,Jurusan Sekolah,Jenis Sekolah,Jurusan Diterima,PTN Diterima,Rata-rata Matematika,Rata-rata Inggris,Rata-rata Indonesia,Rata-rata Fisika,Rata-rata Kimia,Rata-rata Biologi,Rata-rata Ekonomi,Rata-rata Geografi,Rata-rata Sosiologi,Rata-rata Sejarah
80,IPA,SMA,Fmipa,ITB,86.99512195121952,90.0,86.0,91.0,94.0,86.0,84.65584415584416,85.0,,86.80000000000001
81,IPA,SMA,Fti,ITB,92.0,92.0,87.0,98.0,92.0,90.0,87.99350649350652,91.0,,87.0
82,IPA,SMA,Fitb,ITB,84.0,90.0,93.0,88.0,88.0,88.0,84.65584415584416,85.0,,86.80000000000001
83,IPA,SMA,Fmipa,ITB,93.0,88.0,83.0,91.0,92.0,84.0,84.65584415584416,85.0,,86.80000000000001
84,IPA,SMA,Sekolah Bisnis Dan Manajemen (Sbm),ITB,93.0,86.0,85.0,85.0,85.0,83.0,84.65584415584416,85.0,,86.80000000000001
85,IPA,SMA,Fti,ITB,86.99512195121952,86.64829268292684,85.20731707317074,86.53878205128206,87.54878048780488,84.70323170731706,84.65584415584416,85.0,,86.80000000000001
86,IPA,SMA,Fakultas Teknologi Industri,ITB,86.0,86.0,86.0,95.0,85.0,90.0,84.65584415584416,88.0,,91.0
87,IPA,SMA,Sith-Program Rekayasa,ITB,89.0,87.0,90.0,91.0,91.0,88.0,90.0,85.0,,86.80000000000001
88,IPA,SMA,Ftmd,ITB,93.0,92.0,91.0,94.0,95.0,93.0,84.65584415584416,85.0,,86.80000000000001
89,IPA,SMA,Fttm,ITB,81.0,81.0,88.0,80.0,79.0,78.0,84.65584415584416,85.0,,86.80000000000001
90,IPA,SMA,Fmipa,ITB,93.0,89.0,85.0,81.0,86.0,88.0,82.99350649350649,83.2,,80.0
91,IPA,SMA,Fmipa,ITB,93.0,84.0,79.0,93.0,91.0,86.0,84.65584415584416,85.0,,86.80000000000001
92,IPA,SMA,Sbm,ITB,86.99512195121952,86.64829268292684,85.20731707317074,86.53878205128206,87.54878048780488,84.70323170731706,84.65584415584416,85.0,,86.80000000000001
93,IPA,SMA,Arsitektur,ITB,89.0,90.0,91.0,86.0,88.0,86.0,84.65584415584416,85.0,,86.80000000000001
94,IPA,SMA,Sf,ITB,81.0,93.0,92.0,86.0,86.0,90.0,84.65584415584416,85.0,,86.80000000000001
95,IPA,SMA,Stei,ITB,81.0,85.0,90.0,82.0,88.0,87.0,84.65584415584416,85.0,,86.80000000000001
96,IPA,SMA,Ftmd,ITB,91.0,93.0,86.0,93.0,90.0,91.0,84.65584415584416,85.0,,93.0
97,IPA,SMA,Ftsl,ITB,74.3,81.0,78.0,63.6,82.0,61.6,84.65584415584416,85.0,,81.0
98,IPA,SMA,Elektro,ITB,85.0,91.0,86.0,84.0,85.0,87.0,84.65584415584416,88.0,,84.0
99,IPA,SMA,Fakultas Teknik Sipil Dan Lingkungan,ITB,88.0,90.0,87.0,87.70775641025641,88.0,85.0,84.65584415584416,85.0,,88.0
100,IPA,SMA,Teknik Mesin,ITS,87.22256410256409,88.38461538461539,87.15384615384616,87.38461538461539,86.07692307692307,87.38461538461539,87.94285714285715,,,87.25
101,IPA,SMA,Teknik Industri,ITS,93.0,88.38461538461539,87.15384615384616,87.38461538461539,86.07692307692307,87.38461538461539,87.94285714285715,,,87.25
102,Teknik audio video,SMK,Teknik Elektro,ITS,90.77820512820513,88.38461538461539,87.15384615384616,87.38461538461539,86.07692307692307,87.38461538461539,87.94285714285715,,,87.25
103,IPA,SMA,Statistika,ITS,90.22256410256409,88.38461538461539,87.15384615384616,87.38461538461539,86.07692307692307,87.38461538461539,87.94285714285715,,,87.25
104,IPA,SMA,Teknik Informatika,ITS,98.0,91.0,83.0,87.0,89.0,91.0,87.94285714285715,,,87.25
105,IPA,SMA,Sistem Informasi,ITS,90.77820512820513,93.0,87.15384615384616,87.38461538461539,86.07692307692307,87.38461538461539,87.94285714285715,,,87.25
106,IPA,SMA,Teknik Informatika,ITS,92.55564102564102,94.0,89.0,93.0,84.0,96.0,87.94285714285715,,,87.25
107,IPA,SMA,Teknik Fisika,ITS,91.0,84.0,82.0,81.0,77.0,83.0,87.94285714285715,,,94.0
108,IPA,SMA,Teknik Sistem Perkapalan,ITS,86.0,91.0,90.0,93.0,81.0,86.0,87.94285714285715,,,87.25
109,IPA,SMA,Teknik Industri,ITS,94.0,92.0,91.0,92.0,93.0,91.0,93.0,,,90.0
110,IPA,SMA,Perencanaan Wilayah Dan Kota,ITS,90.77820512820513,88.38461538461539,88.0,88.0,89.0,86.0,89.96571428571431,,,93.0
111,IPA,SMA,Perencanaan Wilayah Dan Kota,ITS,93.0,88.0,88.0,88.0,88.0,91.0,90.0,,,82.0
112,IPA,SMA,Teknik Lingkungan,ITS,90.77820512820513,88.38461538461539,87.15384615384616,87.38461538461539,86.07692307692307,87.38461538461539,87.94285714285715,,,87.25
113,IPA,SMA,Matematika,ITS,84.0,83.0,83.0,84.0,84.0,81.0,85.96571428571428,,,84.0
114,IPA,SMA,Arsitektur,ITS,89.0,89.0,88.0,84.0,87.0,92.0,85.0,,,87.0
115,IPA,SMA,Biologi,ITS,90.77820512820513,88.38461538461539,87.15384615384616,87.38461538461539,86.07692307692307,87.38461538461539,87.94285714285715,,,87.25
116,IPA,SMA,Teknik Industri,ITS,89.0,88.0,90.0,85.0,83.0,88.0,87.94285714285715,,,87.25
117,IPA,SMA,Biologi,ITS,90.77820512820513,88.38461538461539,87.15384615384616,87.38461538461539,86.07692307692307,87.38461538461539,87.94285714285715,,,87.25
118,IPA,SMA,Kimia,ITS,94.0,86.0,90.0,87.0,95.0,87.0,89.0,,,86.0
119,IPA,SMA,Teknik Fisika,ITS,91.0,83.0,86.0,90.0,86.0,83.0,87.94285714285715,,,87.25
120,IPA,SMA,Teknik Multimedia Dan Jaringan,ITS,88.0,87.0,85.0,84.0,83.0,81.0,81.0,,,82.0
121,IPA,SMA,Mipa Kimia,UB,89.0,83.0,82.0,88.0,93.0,79.0,84.21071428571429,84.80860805860806,84.85,85.07166666666666
122,IPA,SMA,Teknik Informatika,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
123,IPS,SMA,Antropologi Sosial,UB,77.0,81.0,80.0,73.0,73.0,73.0,79.0,77.0,83.0,80.0
124,IPS,SMA,Ilmu Administrasi Publik,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
125,IPA,SMA,Pendidikan Dokter,UB,91.0,92.0,95.0,84.0,94.0,96.0,84.21071428571429,84.80860805860806,84.85,85.07166666666666
126,IPA,SMA,Teknik Industri,UB,83.0,88.0,86.0,79.0,86.0,84.0,88.0,87.08516483516483,84.85,80.0
127,IPS,SMA,Ilmu Hukum,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
128,IPS,SMA,Ekonomi Islam,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
129,IPA,SMA,Teknik Mesin,UB,83.0,89.0,81.0,86.0,79.0,86.0,84.21071428571429,84.80860805860806,84.85,85.07166666666666
130,IPA,SMA,Agroekoteknologi,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
131,IPA,SMA,Teknik Sipil,UB,90.0,86.0,85.0,85.0,79.0,85.0,84.21071428571429,84.80860805860806,84.85,83.0
132,IPS,SMA,Ilmu Pemerintahan,UB,87.0,79.0,84.0,81.95661538461539,82.39778205128205,82.82753623188407,80.0,83.0,86.0,90.0
133,IPA,SMA,Perencanaan Wilayah & Kota,UB,84.0,82.0,84.0,86.0,84.0,83.0,81.0,84.80860805860806,84.85,82.0
134,IPA,SMA,Arsitektur,UB,85.0,89.0,86.0,87.0,86.0,85.0,84.21071428571429,84.80860805860806,84.85,85.07166666666666
135,IPS,SMA,Hukum,UB,78.0,83.0,81.0,81.95661538461539,82.39778205128205,82.82753623188407,81.0,86.0,84.0,82.0
136,IPS,SMA,Ilmu Politik,UB,80.0,83.0,79.0,81.95661538461539,82.39778205128205,82.82753623188407,77.0,81.0,82.0,84.0
137,IPA,SMA,Peternakan,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
138,IPA,SMA,Teknik Elektro,UB,34.5,34.5,34.5,34.5,34.5,34.5,84.21071428571429,84.80860805860806,84.85,85.07166666666666
139,IPS,SMA,Ilmu Komunikasi,UB,80.0,92.18377777777778,90.0,81.95661538461539,82.39778205128205,82.82753623188407,86.0,88.3617216117216,86.0,88.0
140,IPS,SMA,Hubungan Internasional,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
141,IPS,SMA,Ilmu Hukum,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
142,IPA,SMA,Agroekoteknologi,UB,80.0,82.0,88.0,79.0,81.0,82.0,80.24214285714285,84.80860805860806,84.85,85.0
143,IPA,SMA,Agribisnis,UB,82.0,86.0,94.0,82.0,85.0,86.0,85.0,84.80860805860806,84.85,85.07166666666666
144,IPS,SMA,Ilmu Komunikasi,UB,78.0,81.0,79.0,81.95661538461539,82.39778205128205,82.82753623188407,83.0,86.0,80.0,82.0
145,IPS,SMA,Hubungan Internasional,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
146,IPA,SMA,Agroekoteknologi,UB,81.0,88.0,85.0,83.0,82.0,84.0,84.72642857142857,84.08516483516483,83.10999999999999,89.0
147,IPA,SMA,Teknik Lingkungan,UB,79.0,79.0,80.0,82.0,82.0,78.0,84.21071428571429,84.80860805860806,84.85,77.0
148,IPA,SMA,Ilmu Dan Teknologi Pangan,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
149,IPA,SMA,Biologi,UB,92.0,84.0,88.0,90.0,86.0,89.0,84.21071428571429,84.80860805860806,84.85,85.07166666666666
150,IPA,SMA,Teknologi Pangan,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
151,IPA,SMA,Fmipa Fisika,UB,92.0,96.0,94.0,93.0,92.0,92.0,88.0,84.80860805860806,84.85,91.0
152,IPS,SMA,Ekonomi Pembangunan,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
153,IPS,SMA,Administrasi Perpajakan,UB,92.0,86.0,89.0,81.95661538461539,82.39778205128205,82.82753623188407,91.24214285714285,91.0,91.0,93.0
154,IPS,SMA,Ilmu Pemerintahan,UB,77.0,86.0,80.0,81.95661538461539,82.39778205128205,82.82753623188407,83.0,79.0,80.0,83.0
155,IPA,SMA,Teknologi Hasil Perikanan,UB,82.0,91.0,89.0,80.0,79.0,83.0,88.72642857142857,84.80860805860806,84.85,83.0
156,IPA,SMA,Teknik Industri,UB,80.8817142857143,83.0,83.27033333333334,80.79132307692308,86.87955641025641,82.96550724637682,83.24214285714285,84.80860805860806,88.11000000000001,79.41433333333333
157,IPA,SMA,Peternakan,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
158,IPA,SMA,Fisika,UB,82.40857142857143,83.91888888888889,84.35166666666666,81.95661538461539,82.39778205128205,82.82753623188407,84.21071428571429,84.80860805860806,84.85,85.07166666666666
